date, pm25, pm10, o3, no2,region
2020/6/15, 16, 8, 34, 4,alpes-cote-dazur
2020/6/16, 24, 9, 38, 3,alpes-cote-dazur
2020/6/17, 21, 9, 35, 3,alpes-cote-dazur
2020/6/18, 19, 9, 42, 4,alpes-cote-dazur
2020/6/19, 19, 9, 37, 3,alpes-cote-dazur
2020/6/20, 24, 8, 37, 6,alpes-cote-dazur
2020/6/21, 22, 8, 41, 6,alpes-cote-dazur
2020/6/22, 19, 12, 46, 7,alpes-cote-dazur
2020/6/23, 23, 9, 37, 7,alpes-cote-dazur
2020/6/24, 23, 8, 37, 7,alpes-cote-dazur
2020/6/25, 21, 9, 38, 5,alpes-cote-dazur
2020/6/26, 25, 9, 40, 4,alpes-cote-dazur
2020/6/27, 26, 11, 43, 5,alpes-cote-dazur
2020/6/28, 36, 11, 25, 4,alpes-cote-dazur
2020/6/29, 28, 20, 30, 3,alpes-cote-dazur
2020/6/30, 51, 14, 30, 4,alpes-cote-dazur
2020/5/1, 7, 6, 29, ,alpes-cote-dazur
2020/5/2, 5, 13, 31, 1,alpes-cote-dazur
2020/5/3, 19, 11, 42, 2,alpes-cote-dazur
2020/5/4, 16, 12, 31, 3,alpes-cote-dazur
2020/5/5, 18, 14, 30, 1,alpes-cote-dazur
2020/5/6, 21, 18, 42, 4,alpes-cote-dazur
2020/5/7, 23, 11, 49, 3,alpes-cote-dazur
2020/5/8, 28, 13, 39, 2,alpes-cote-dazur
2020/5/9, 30, 19, 40, ,alpes-cote-dazur
2020/5/10, 33, 15, 37, 3,alpes-cote-dazur
2020/5/11, 13, 17, 30, 3,alpes-cote-dazur
2020/5/12, 14, 27, 33, 1,alpes-cote-dazur
2020/5/13, 30, 23, 30, 4,alpes-cote-dazur
2020/5/14, 38, 13, 34, 3,alpes-cote-dazur
2020/5/15, 29, , 29, 3,alpes-cote-dazur
2020/5/16, 29, , 25, 3,alpes-cote-dazur
2020/5/17, 18, , 33, 4,alpes-cote-dazur
2020/5/18, 32, , 37, 5,alpes-cote-dazur
2020/5/19, 38, , 40, 6,alpes-cote-dazur
2020/5/20, 32, , 43, 4,alpes-cote-dazur
2020/5/21, 26, , 43, 6,alpes-cote-dazur
2020/5/22, 31, , 38, 4,alpes-cote-dazur
2020/5/23, 38, , 37, 2,alpes-cote-dazur
2020/5/24, 35, , 41, 4,alpes-cote-dazur
2020/5/25, 19, , 47, 6,alpes-cote-dazur
2020/5/26, 21, 5, 41, 4,alpes-cote-dazur
2020/5/27, 15, 9, 37, 6,alpes-cote-dazur
2020/5/28, 20, 11, 37, 7,alpes-cote-dazur
2020/5/29, 28, 7, 42, 4,alpes-cote-dazur
2020/5/30, 21, 7, 40, 3,alpes-cote-dazur
2020/5/31, 23, 8, 44, 3,alpes-cote-dazur
2020/4/1, 27, 15, 41, 5,alpes-cote-dazur
2020/4/2, 48, 17, 43, 5,alpes-cote-dazur
2020/4/3, 47, 18, 48, 4,alpes-cote-dazur
2020/4/4, 54, 18, 48, 3,alpes-cote-dazur
