date, pm25, pm10, o3, no2,region
2020/1/10, 28, , 24, 2,normandie
2020/1/11, 35, , 28, 2,normandie
2020/1/12, 22, , 22, 2,normandie
2020/1/13, 21, , 27, ,normandie
2020/1/14, 12, , 27, 3,normandie
2020/1/15, 30, , 25, 2,normandie
2020/1/16, 30, , 31, 1,normandie
2020/1/17, 17, , 28, 3,normandie
2020/1/18, 25, , 28, 4,normandie
2020/1/19, 42, , 25, 4,normandie
2020/1/20, 35, , 20, 5,normandie
2020/1/21, 58, , 15, 7,normandie
2020/1/22, 78, , 15, 6,normandie
2020/1/23, 76, , 11, 8,normandie
2020/1/24, 86, , 7, 14,normandie
2020/1/25, 64, , 23, 8,normandie
2020/1/26, 59, , 29, 1,normandie
2020/1/27, 16, , 35, 1,normandie
2020/1/28, 8, , 32, 2,normandie
2020/1/29, 25, , 24, 2,normandie
2020/1/30, 17, , 24, 2,normandie
2020/1/31, 13, , 30, 2,normandie
2019/10/1, 14, , 26, 2,normandie
2019/10/2, 16, , 25, 5,normandie
2019/10/3, 27, , 24, 2,normandie
2019/10/4, 27, , 19, 2,normandie
2019/10/5, 22, , 28, 1,normandie
2019/10/6, 19, , 25, 2,normandie
2019/10/7, 19, , 23, 1,normandie
2019/10/8, 23, , 26, ,normandie
2019/10/9, 15, , 22, 1,normandie
2019/10/10, 20, , 25, ,normandie
2019/10/11, 16, , 25, ,normandie
2019/10/12, 16, , 23, 1,normandie
2019/10/13, 29, , 27, 2,normandie
2019/10/14, 88, , 25, 1,normandie
2019/10/15, 9, , 22, ,normandie
2019/10/17, 11, , 29, ,normandie
2019/10/18, 15, , 24, 1,normandie
2019/10/19, 17, , 22, 2,normandie
2019/10/20, 22, , 26, 1,normandie
2019/10/21, 16, , 9, 6,normandie
2019/10/22, 29, , 11, 5,normandie
2019/10/23, 34, , 22, 5,normandie
2019/10/24, 35, , 26, 1,normandie
2019/10/25, 17, , 30, ,normandie
2019/10/26, 17, , 24, 2,normandie
2019/10/27, 21, , 21, 4,normandie
2019/10/28, 27, , 17, 5,normandie
2019/10/29, 35, , 13, 4,normandie
2019/10/30, 46, , 5, 5,normandie
2019/10/31, 57, , 22, 3,normandie
2019/11/1, 32, , 26, ,normandie
2019/11/2, 19, , 26, ,normandie
2019/11/3, 14, , 23, 1,normandie
2019/11/4, 13, , 22, 4,normandie
2019/11/5, 22, , 20, 3,normandie
2019/11/6, 27, , 25, 1,normandie
2019/11/7, 19, , 17, 3,normandie
2019/11/8, 23, , , ,normandie
2019/11/13, 20, , 28, 2,normandie
2019/11/14, 19, , 15, 6,normandie
2019/11/15, 44, , 14, 4,normandie
2019/11/16, 30, , 13, 3,normandie
2019/11/17, 40, , 20, 5,normandie
2019/11/18, 45, , 9, 7,normandie
2019/11/19, 48, , 13, 12,normandie
2019/11/20, 51, , 17, 7,normandie
2019/11/21, 56, , 23, 3,normandie
2019/11/22, 19, , 16, 6,normandie
2019/11/23, 24, , 22, 2,normandie
2019/11/24, 29, , 16, 2,normandie
2019/11/25, 27, , 23, 1,normandie
2019/11/26, 17, , 27, ,normandie
2019/11/27, 18, , 24, 2,normandie
2019/11/28, 15, , 24, 3,normandie
2019/11/29, 20, , 24, 4,normandie
2019/11/30, 37, , 27, 3,normandie
2019/12/1, 37, , 18, 6,normandie
2019/12/2, 28, , 1, 14,normandie
2019/12/3, 64, , 9, 11,normandie
2019/12/4, 60, , 9, 9,normandie
2019/12/5, 71, , 25, 1,normandie
2019/12/6, 39, , 25, 1,normandie
2019/12/7, 24, , 30, ,normandie
2019/12/8, 26, , 30, 1,normandie
2019/12/9, 32, , 24, 4,normandie
2019/12/10, 36, , 26, 1,normandie
2019/12/11, 17, , 25, 1,normandie
2019/12/12, 12, , 32, 1,normandie
2019/12/13, 29, , 33, ,normandie
2019/12/14, 87, , 32, 1,normandie
2019/12/15, 27, , 21, 5,normandie
2019/12/16, 23, , 18, 6,normandie
2019/12/17, 33, , 43, 5,normandie
2019/12/18, 30, , 57, 2,normandie
2019/12/19, 37, , 29, 1,normandie
2019/12/20, 16, , 34, ,normandie
2019/12/21, 19, , 31, ,normandie
2019/12/22, 21, , 27, 1,normandie
2019/12/23, 31, , 30, 1,normandie
2019/12/24, 35, , 27, 2,normandie
2019/12/25, 20, , 29, 4,normandie
2019/12/26, 36, , 30, 3,normandie
2019/12/27, 24, , 21, 4,normandie
2019/12/28, 40, , 9, 8,normandie
2019/12/29, 65, , , ,normandie
2019/7/1, 17, , 34, 3,normandie
2019/7/2, 21, , 36, 2,normandie
2019/7/3, 17, , 40, 2,normandie
2019/7/4, 22, , 52, 4,normandie
2019/7/5, 36, , 47, 2,normandie
2019/7/6, 33, , 33, 3,normandie
2019/7/7, 45, , 39, 1,normandie
2019/7/8, 27, , 38, 2,normandie
2019/7/9, 25, , 50, 4,normandie
2019/7/10, 29, , 55, 4,normandie
2019/7/11, 45, , 28, 2,normandie
2019/7/12, 23, , 35, 3,normandie
2019/7/13, 33, , 29, 2,normandie
2019/7/14, 29, , 33, 2,normandie
2019/7/15, 23, , 38, 2,normandie
2019/7/16, 26, , 43, 4,normandie
2019/7/17, 30, , 25, 2,normandie
2019/7/18, 29, , 28, 3,normandie
2019/7/19, 23, , 27, 2,normandie
2019/7/20, 21, , 30, 3,normandie
2019/7/21, 20, , 36, 5,normandie
2019/7/22, 19, , 67, 4,normandie
2019/7/23, 30, , 61, 5,normandie
2019/7/24, 50, , 64, 6,normandie
2019/7/25, 52, , 30, 2,normandie
2019/7/26, 33, , 27, 1,normandie
2019/7/27, 22, , 30, 3,normandie
2019/7/28, 25, , 39, 4,normandie
2019/7/29, 22, , 29, 1,normandie
2019/7/30, 18, , 26, 1,normandie
2019/7/31, 22, , 31, 4,normandie
2019/8/1, 22, , 37, 4,normandie
2019/8/2, 27, , 38, 3,normandie
2019/8/3, 27, , 41, 4,normandie
2019/8/4, 33, , 24, 3,normandie
2019/8/5, 23, , 24, 2,normandie
2019/8/6, 20, , 29, 3,normandie
2019/8/7, 21, , 31, 4,normandie
2019/8/8, 17, , 27, 3,normandie
2019/8/9, 17, , 30, 1,normandie
2019/8/10, 29, , 28, 1,normandie
2019/8/11, 21, , 28, 2,normandie
2019/8/12, 15, , 26, 2,normandie
2019/8/13, 15, , 26, 2,normandie
2019/8/14, 12, , 23, 1,normandie
2019/8/15, 24, , 25, 2,normandie
2019/8/16, 18, , 20, 1,normandie
2019/8/17, 20, , 30, 1,normandie
2019/8/18, 18, , 29, 1,normandie
2019/8/19, 18, , 35, 3,normandie
2019/8/20, 19, , 38, 4,normandie
2019/8/21, 23, , 46, 3,normandie
2019/8/22, 66, , 47, 4,normandie
2019/8/23, 34, , 59, 5,normandie
2019/8/24, 35, , 58, 6,normandie
2019/8/25, 51, , 56, 4,normandie
2019/8/26, 54, , 67, 7,normandie
2019/8/27, 60, , 29, 6,normandie
2019/8/28, 54, , 34, 2,normandie
2019/8/29, 25, , 41, 4,normandie
2019/8/30, 19, , 33, 4,normandie
2019/8/31, 25, , 29, 2,normandie
2019/9/1, 18, , 33, 3,normandie
2019/9/2, 18, , 30, 4,normandie
2019/9/3, 20, , 27, 4,normandie
2019/9/4, 15, , 29, 2,normandie
2019/9/5, 17, , 29, 5,normandie
2019/9/6, 23, , 22, 2,normandie
2019/9/7, 19, , 30, 4,normandie
2019/9/8, 15, , 29, 4,normandie
2019/9/9, 19, , 35, 3,normandie
2019/9/10, 29, , 21, 4,normandie
2019/9/11, 28, , 16, 3,normandie
2019/9/12, 17, , 19, 3,normandie
2019/9/13, 17, , 35, 2,normandie
2019/9/14, 26, , 41, 4,normandie
2019/9/15, 35, , 19, 5,normandie
2019/9/16, 33, , 32, 2,normandie
2019/9/17, 25, , 32, 1,normandie
2019/9/18, 22, , 31, 2,normandie
2019/9/19, 21, , 36, 3,normandie
2019/9/20, 19, , 40, 4,normandie
2019/9/21, 23, , 27, 3,normandie
2019/9/22, 29, , 25, 2,normandie
2019/9/23, 14, , 22, 2,normandie
2019/9/24, 17, , 19, 1,normandie
2019/9/25, 17, , 23, 1,normandie
2019/9/26, 15, , 25, 1,normandie
2019/9/27, 15, , 27, 1,normandie
2019/9/28, 15, , 26, ,normandie
2019/9/29, 16, , 27, 1,normandie
2019/9/30, 21, , 23, 1,normandie
2019/4/1, 119, , 32, 7,normandie
2019/4/2, 53, , 34, 1,normandie
2019/4/3, 13, , 35, 3,normandie
2019/4/4, 26, , 36, 4,normandie
2019/4/5, 15, , 36, 3,normandie
2019/4/6, 49, , 36, 4,normandie
2019/4/7, 56, , 38, 5,normandie
2019/4/8, 54, , 29, 6,normandie
2019/4/9, 47, , 28, 6,normandie
2019/4/10, 89, , 33, 3,normandie
2019/4/11, 54, , 35, 3,normandie
2019/4/12, 63, , 36, 3,normandie
2019/4/13, 51, , 37, 3,normandie
2019/4/14, 54, , 41, 5,normandie
2019/4/15, 82, , 37, 6,normandie
2019/4/16, 66, , 37, 4,normandie
2019/4/17, 42, , 44, 2,normandie
2019/4/18, 31, , 48, 7,normandie
2019/4/19, 41, , 51, 6,normandie
2019/4/20, 76, , 52, 4,normandie
2019/4/21, 63, , 46, 6,normandie
2019/4/22, 50, , 37, 9,normandie
2019/4/23, 53, , 32, 5,normandie
2019/4/24, 44, , 33, 1,normandie
2019/4/25, 14, , 32, 2,normandie
2019/4/26, 15, , 36, 1,normandie
2019/4/27, 25, , 33, 1,normandie
2019/4/28, 26, , 33, 3,normandie
2019/4/29, 25, , 38, 4,normandie
2019/4/30, 43, , 36, 4,normandie
2019/5/1, 59, , 34, 3,normandie
2019/5/2, 52, , 34, 3,normandie
2019/5/3, 58, , 32, 2,normandie
2019/5/4, 75, , 38, 2,normandie
2019/5/5, 30, , 39, 5,normandie
2019/5/6, 39, , 39, 5,normandie
2019/5/7, 37, , 34, 1,normandie
2019/5/8, 18, , 37, 2,normandie
2019/5/9, 21, , 31, 3,normandie
2019/5/10, 25, , 35, 2,normandie
2019/5/11, 34, , 37, 3,normandie
2019/5/12, 20, , 39, 3,normandie
2019/5/13, 18, , 40, 4,normandie
2019/5/14, 28, , 42, 4,normandie
2019/5/15, 37, , 43, 5,normandie
2019/5/16, 32, , 36, 5,normandie
2019/5/17, 59, , 23, 5,normandie
2019/5/18, 99, , 30, 6,normandie
2019/5/19, 113, , 42, 4,normandie
2019/5/20, 50, , 37, 5,normandie
2019/5/21, 61, , 46, 4,normandie
2019/5/22, 28, , 41, 5,normandie
2019/5/23, 30, , 37, 4,normandie
2019/5/24, 41, , 30, 5,normandie
2019/5/25, 51, , 24, 2,normandie
2019/5/26, 36, , 29, 1,normandie
2019/5/27, 26, , 28, 1,normandie
2019/5/28, 23, , 30, 3,normandie
2019/5/29, 20, , 22, 1,normandie
2019/5/30, 16, , 26, 3,normandie
2019/5/31, 20, , 32, 3,normandie
2019/6/1, 24, , 40, 3,normandie
2019/6/2, 26, , 37, 2,normandie
2019/6/3, 25, , 25, 3,normandie
2019/6/4, 25, , 29, 2,normandie
2019/6/5, 16, , 31, 2,normandie
2019/6/6, 17, , 33, 3,normandie
2019/6/7, 49, , 29, 1,normandie
2019/6/8, 51, , 27, 2,normandie
2019/6/9, 18, , 29, 2,normandie
2019/6/10, 19, , 34, 2,normandie
2019/6/11, 13, , 28, 2,normandie
2019/6/12, 16, , 28, 1,normandie
2019/6/13, 133, , 34, 2,normandie
2019/6/14, 12, , 31, 2,normandie
2019/6/15, 19, , 24, 1,normandie
2019/6/16, 21, , 30, 4,normandie
2019/6/18, 53, , 33, 5,normandie
2019/6/19, 43, , 33, 2,normandie
2019/6/20, 31, , 29, 3,normandie
2019/6/21, 14, , 39, 3,normandie
2019/6/22, 16, , 42, 3,normandie
2019/6/23, 43, , 25, 5,normandie
2019/6/24, 40, , 40, 3,normandie
2019/6/25, 42, , 35, 2,normandie
2019/6/26, 56, , 46, 2,normandie
2019/6/27, 39, , 56, 3,normandie
2019/6/28, 32, , 74, 4,normandie
2019/6/29, 37, , 36, 2,normandie
2019/6/30, 39, , 30, 2,normandie
2019/1/1, 32, , 29, 3,normandie
2019/1/2, 22, , 26, 5,normandie
2019/1/3, 29, , 9, 9,normandie
2019/1/4, 57, , 24, 5,normandie
2019/1/5, 63, , 19, 6,normandie
2019/1/6, 62, , 23, 8,normandie
2019/1/7, 52, , 28, 3,normandie
2019/1/8, 30, , 28, 4,normandie
2019/1/9, 23, , 23, 6,normandie
2019/1/10, 24, , 12, 7,normandie
2019/1/11, 53, , 28, 3,normandie
2019/1/12, 28, , 30, 1,normandie
2019/1/13, 34, , 29, 2,normandie
2019/1/14, 19, , 24, 5,normandie
2019/1/15, 29, , 26, 1,normandie
2019/1/16, 30, , 28, 3,normandie
2019/1/17, 20, , 22, 8,normandie
2019/1/18, 51, , 17, 6,normandie
2019/1/19, 45, , 20, 7,normandie
2019/1/20, 56, , 8, 10,normandie
2019/1/21, 93, , 28, 5,normandie
2019/1/22, 60, , 25, 3,normandie
2019/1/23, 22, , 15, 9,normandie
2019/1/24, 61, , 19, 7,normandie
2019/1/25, 55, , 32, 2,normandie
2019/1/26, 22, , 32, ,normandie
2019/1/27, 16, , 31, 2,normandie
2019/1/28, 20, , 23, 6,normandie
2019/1/29, 37, , 31, 3,normandie
2019/1/30, 20, , 23, 5,normandie
2019/1/31, 26, , 26, 5,normandie
2019/2/1, 28, , 27, 2,normandie
2019/2/2, 43, , 27, 3,normandie
2019/2/3, 31, , 24, 3,normandie
2019/2/4, 37, , 23, 1,normandie
2019/2/5, 22, , 24, 3,normandie
2019/2/6, 20, , 31, 1,normandie
2019/2/7, 17, , 33, 1,normandie
2019/2/8, 13, , 32, ,normandie
2019/2/9, 23, , 35, ,normandie
2019/2/10, 14, , 31, 2,normandie
2019/2/11, 20, , 26, 7,normandie
2019/2/12, 40, , 25, 9,normandie
