date, pm25, pm10, o3, no2,region
2020/3/1, 23, 20, 36, 12,occitanie
2020/3/2, 25, 7, 27, 17,occitanie
2020/3/3, 20, 9, 29, 14,occitanie
2020/3/4, 28, 16, 35, 10,occitanie
2020/3/5, 26, 5, 37, 4,occitanie
2020/3/6, 24, 4, 35, 3,occitanie
2020/3/7, 29, 6, 35, 10,occitanie
2020/3/8, 21, 6, 34, 4,occitanie
2020/3/9, 6, 10, 34, 5,occitanie
2020/3/10, 15, 12, 29, 14,occitanie
2020/3/11, 31, 26, 34, 14,occitanie
2020/3/12, 52, 17, 30, 10,occitanie
2020/3/13, 47, 15, 35, 11,occitanie
2020/3/14, 27, 16, 40, 9,occitanie
2020/3/15, 42, 25, 38, 15,occitanie
2020/3/16, 39, 20, 40, 9,occitanie
2020/3/17, 50, 23, 42, 9,occitanie
2020/3/18, 61, 24, 48, 9,occitanie
2020/3/19, 70, 24, 53, 7,occitanie
2020/3/20, 70, 24, 43, 3,occitanie
2020/3/21, 68, 22, 36, 3,occitanie
2020/3/22, 61, 23, 39, 5,occitanie
2020/3/23, 65, 19, 36, 6,occitanie
2020/3/24, 24, 12, 41, 4,occitanie
2020/3/25, 43, 8, 41, 3,occitanie
2020/3/26, 24, 14, 36, 6,occitanie
2020/3/27, 41, 21, 40, 6,occitanie
2020/3/28, 69, 23, 42, 3,occitanie
2020/3/29, 59, 11, 32, 4,occitanie
2020/3/30, 36, 12, 38, 3,occitanie
2020/3/31, 42, 15, 41, 5,occitanie
2020/2/1, 42, 13, 24, 16,occitanie
2020/2/2, 37, 17, 28, 10,occitanie
2020/2/3, 25, 20, 35, 9,occitanie
2020/2/4, 30, 5, 33, 8,occitanie
2020/2/5, 13, 13, 30, 16,occitanie
2020/2/6, 17, 23, 32, 22,occitanie
2020/2/7, 36, 23, 25, 18,occitanie
2020/2/8, 46, 22, , 13,occitanie
2020/2/9, 54, 23, , 15,occitanie
2020/2/10, 44, 14, , 11,occitanie
2020/2/11, 34, 12, , 17,occitanie
2020/2/12, 14, 22, , 17,occitanie
2020/2/13, 43, 20, , 14,occitanie
2020/2/14, 49, 19, , 18,occitanie
2020/2/15, 38, 33, , 11,occitanie
2020/2/16, 65, 25, , 16,occitanie
2020/2/17, 47, 6, , 10,occitanie
2020/2/18, 17, 6, , 9,occitanie
2020/2/19, 8, 16, , 22,occitanie
2020/2/20, 31, 12, , 12,occitanie
2020/2/21, 34, 18, , 18,occitanie
2020/2/22, 49, 19, , 19,occitanie
2020/2/23, 58, 16, 28, 19,occitanie
2020/2/24, 37, 12, 35, 13,occitanie
2020/2/25, 15, 8, 37, 8,occitanie
2020/2/26, 10, 8, 30, 16,occitanie
2020/2/27, 13, 12, 30, 17,occitanie
2020/2/28, 22, 38, 34, 12,occitanie
2020/2/29, 37, 10, 36, 12,occitanie
2020/1/1, 94, 31, 9, 10,occitanie
2020/1/2, 92, 32, 21, 16,occitanie
2020/1/3, 88, 11, 27, 10,occitanie
2020/1/4, 32, 10, 30, 11,occitanie
2020/1/5, 20, 15, 23, 14,occitanie
2020/1/6, 35, 31, 21, 19,occitanie
2020/1/7, 70, 30, 14, 27,occitanie
2020/1/8, 64, 34, 22, 23,occitanie
2020/1/9, 81, 15, 27, 14,occitanie
2020/1/10, 45, 8, 26, 13,occitanie
2020/1/11, 24, 19, 23, 19,occitanie
2020/1/12, 60, 30, 17, 21,occitanie
2020/1/13, 67, 31, 29, 22,occitanie
2020/1/14, 68, 31, 36, 24,occitanie
2020/1/15, 49, 30, 28, 25,occitanie
2020/1/16, 61, 19, 36, 13,occitanie
2020/1/17, 37, 9, 30, 16,occitanie
2020/1/18, 15, 11, 32, 3,occitanie
2020/1/19, 38, 9, 27, 7,occitanie
2020/1/20, 24, 8, 22, 8,occitanie
2020/1/21, 28, 12, 20, 10,occitanie
2020/1/22, 44, 25, 32, 16,occitanie
2020/1/23, 64, 22, 25, 14,occitanie
2020/1/24, 47, 23, 31, 18,occitanie
2020/1/25, 66, 18, 31, 11,occitanie
2020/1/26, 38, 26, 8, 12,occitanie
2020/1/27, 65, 25, 33, 14,occitanie
2020/1/28, 65, 12, 33, 21,occitanie
2020/1/29, 24, 32, 17, 24,occitanie
2020/1/30, 56, 32, 23, 18,occitanie
2020/1/31, 72, 18, 24, 14,occitanie
2019/10/1, 21, 13, 26, 4,occitanie
2019/10/2, 22, 6, 33, 7,occitanie
2019/10/3, 12, 14, 26, 15,occitanie
2019/10/4, 23, 12, 26, 6,occitanie
2019/10/5, 22, 7, 27, 4,occitanie
2019/10/6, 10, 8, 30, 8,occitanie
