date, pm25, pm10, o3, no2,region
2020/4/21, 15, 6, 26, 7,paca
2020/4/22, 17, 12, 38, 7,paca
2020/4/23, 34, 11, 38, 8,paca
2020/4/24, 35, 10, 38, 4,paca
2020/4/25, 30, 10, 34, 3,paca
2020/4/26, 33, 7, 30, 1,paca
2020/4/27, 19, 7, 30, 2,paca
2020/4/28, 18, 7, 33, 4,paca
2020/4/29, 14, 10, 32, 3,paca
2020/4/30, 22, 7, 28, 4,paca
2020/3/1, 30, 16, 29, 6,paca
2020/3/2, 35, 8, 24, 13,paca
2020/3/3, 18, 9, 37, 11,paca
2020/3/4, 17, 12, 25, 13,paca
2020/3/5, 35, 10, 31, 9,paca
2020/3/6, 18, 8, 34, 5,paca
2020/3/7, 23, 10, 33, 11,paca
2020/3/8, 32, 11, 32, 7,paca
2020/3/9, 21, 10, 27, 8,paca
2020/3/10, 21, 12, 24, 11,paca
2020/3/11, 24, 17, 34, 11,paca
2020/3/12, 47, 18, 28, 8,paca
2020/3/13, 40, 10, 33, 6,paca
2020/3/14, 24, 14, 35, 5,paca
2020/3/15, 26, 14, 37, 3,paca
2020/3/16, 23, 16, 33, 13,paca
2020/3/17, 44, 20, 41, 11,paca
2020/3/18, 59, 22, 47, 10,paca
2020/3/19, 65, 20, 43, 8,paca
2020/3/20, 59, , , ,paca
2020/3/22, 64, 25, 33, 5,paca
2020/3/23, 63, 15, 32, 3,paca
2020/3/24, 36, 15, 35, 5,paca
2020/3/25, 48, 14, 38, 5,paca
2020/3/26, 46, 21, 28, 11,paca
2020/3/27, 61, 28, 41, 9,paca
2020/3/28, 78, 31, 42, 7,paca
2020/3/29, 79, 21, 32, 7,paca
2020/3/30, 56, 20, 29, 7,paca
2020/3/31, 55, 12, 38, 2,paca
2020/2/1, 55, 12, 16, 17,paca
2020/2/2, 39, 29, 16, 15,paca
2020/2/3, 46, 25, 31, 10,paca
2020/2/4, 34, 9, 30, 10,paca
2020/2/5, 18, 12, 27, 12,paca
2020/2/6, 26, 13, 33, 16,paca
2020/2/7, 31, 13, 31, 11,paca
2020/2/8, 33, 10, 32, 7,paca
2020/2/9, 29, 23, 27, 11,paca
2020/2/10, 45, 17, 26, 9,paca
2020/2/11, 37, 13, 26, 12,paca
2020/2/12, 24, 18, 20, 18,paca
2020/2/13, 43, 15, 27, 11,paca
2020/2/14, 33, 14, 30, 13,paca
2020/2/15, 37, 13, 28, 6,paca
2020/2/16, 43, 14, 27, 8,paca
2020/2/17, 37, 9, 28, 7,paca
2020/2/18, 15, 9, 29, 7,paca
2020/2/19, 14, 14, 30, 15,paca
2020/2/20, 30, 16, 29, 13,paca
2020/2/21, 31, 16, 33, 16,paca
2020/2/22, 48, 23, 27, 18,paca
2020/2/23, 66, 16, 22, 14,paca
2020/2/24, 36, 19, 25, 15,paca
2020/2/25, 42, 19, 32, 8,paca
2020/2/26, 18, 16, 26, 12,paca
2020/2/27, 30, 9, 29, 11,paca
2020/2/28, 20, 19, 32, 7,paca
2020/2/29, 38, 12, 30, 11,paca
2020/1/1, 90, 31, 6, 17,paca
2020/1/2, 87, 26, 2, 18,paca
2020/1/3, 77, 7, , 7,paca
2020/1/4, 19, 21, 10, 16,paca
2020/1/5, 63, 19, 10, 18,paca
2020/1/6, 60, 24, 8, 20,paca
2020/1/7, 68, 30, 5, 25,paca
2020/1/8, 78, 17, 22, 20,paca
2020/1/9, 48, 19, 21, 16,paca
2020/1/10, 51, 18, 12, 19,paca
2020/1/11, 53, 16, 20, 19,paca
2020/1/12, 50, 16, 21, 15,paca
2020/1/13, 48, 11, 28, 11,paca
2020/1/14, 31, 10, 31, 9,paca
2020/1/15, 27, 12, 23, 12,paca
2020/1/16, 38, 10, 30, 9,paca
2020/1/17, 27, 10, 24, 12,paca
2020/1/18, 26, 15, 15, 16,paca
2020/1/19, 47, 8, 26, 9,paca
2020/1/20, 19, 8, 30, 5,paca
2020/1/21, 20, 12, 32, 5,paca
2020/1/22, 34, 16, 30, 6,paca
2020/1/23, 41, 16, 30, 17,paca
2020/1/24, 47, 17, 27, 11,paca
2020/1/25, 47, 17, 24, 12,paca
2020/1/26, 56, 22, 22, 14,paca
2020/1/27, 52, 20, 29, 11,paca
2020/1/28, 44, 13, 29, 12,paca
2020/1/29, 26, 17, 20, 21,paca
2020/1/30, 39, 30, 11, 22,paca
2020/1/31, 75, 18, 19, 15,paca
2019/10/1, 26, 8, 28, 6,paca
2019/10/2, 13, 9, 30, 7,paca
2019/10/3, 12, 13, 23, 15,paca
2019/10/4, 22, 9, 25, 6,paca
2019/10/5, 18, 4, 24, 5,paca
2019/10/6, 8, 12, 27, 6,paca
2019/10/7, 17, 13, 26, 13,paca
2019/10/8, 25, 18, 15, 17,paca
2019/10/9, 36, 13, 202, 8,paca
2019/10/10, 17, 18, 24, 10,paca
2019/10/11, 29, , , ,paca
2019/10/14, 49, 13, 29, 5,paca
2019/10/15, 27, 10, 30, 10,paca
2019/10/16, 17, 8, 30, 5,paca
2019/10/17, 14, 8, 35, 5,paca
2019/10/18, 18, 12, 39, 2,paca
2019/10/19, 29, 15, 37, 1,paca
2019/10/20, 38, 7, 23, 9,paca
2019/10/21, 20, 13, 24, 7,paca
2019/10/22, 31, 18, 31, 3,paca
2019/10/23, 36, 16, 25, 12,paca
2019/10/24, 32, 15, 12, 15,paca
2019/10/25, 34, 15, 24, 13,paca
2019/10/26, 39, 21, 32, 13,paca
2019/10/27, 59, 23, 28, 13,paca
2019/10/28, 59, 24, 28, 13,paca
2019/10/29, 65, 24, 10, 16,paca
2019/10/30, 66, 28, 8, 16,paca
2019/10/31, 73, 12, 22, 7,paca
2019/11/1, 37, 8, 30, 6,paca
2019/11/2, 23, 9, 25, 4,paca
2019/11/3, 21, 13, 19, 14,paca
2019/11/4, 24, 7, 21, 12,paca
2019/11/5, 13, 7, 16, 14,paca
2019/11/6, 13, 10, 11, 17,paca
2019/11/7, 27, 10, 16, 15,paca
2019/11/8, 27, 11, 18, 14,paca
2019/11/9, 34, 14, 19, 14,paca
2019/11/10, 46, , , ,paca
2019/11/12, 15, 8, 19, 11,paca
2019/11/13, 17, 7, 16, 13,paca
2019/11/14, 21, 8, 17, 17,paca
2019/11/15, 23, 9, 18, 14,paca
2019/11/16, 26, 11, 17, 12,paca
2019/11/17, 37, 13, 8, 17,paca
2019/11/18, 41, 18, 11, 17,paca
2019/11/19, 52, 12, 14, 16,paca
2019/11/20, 36, 5, 23, 9,paca
2019/11/21, 15, 5, 27, 6,paca
2019/11/22, 13, 9, 26, 4,paca
2019/11/23, 22, 7, 12, 13,paca
2019/11/24, 24, 19, 5, 14,paca
2019/11/25, 53, 19, 18, 18,paca
2019/11/26, 47, 11, 23, 13,paca
2019/11/27, 29, 10, 18, 15,paca
2019/11/28, 20, 10, 19, 18,paca
2019/11/29, 25, 11, , 12,paca
2019/11/30, 30, 9, 20, 8,paca
2019/12/1, 29, 12, 6, 14,paca
2019/12/2, 32, 17, 10, 18,paca
2019/12/3, 42, 11, 27, 12,paca
2019/12/4, 28, 17, 26, 18,paca
2019/12/5, 40, 18, 23, 18,paca
2019/12/6, 40, 24, 12, 20,paca
2019/12/7, 67, 21, 14, 16,paca
2019/12/8, 63, 13, 26, 11,paca
2019/12/9, 30, 14, 23, 12,paca
2019/12/10, 30, 19, 8, 20,paca
2019/12/11, 49, 13, 18, 16,paca
2019/12/12, 36, 9, 21, 12,paca
2019/12/13, 26, 12, 19, 16,paca
2019/12/14, 32, 10, 25, 10,paca
2019/12/15, 31, 10, 31, 3,paca
2019/12/16, 26, 27, 29, 4,paca
2019/12/17, 50, 23, 23, 7,paca
2019/12/18, 49, 10, 27, 4,paca
2019/12/19, 28, 19, 29, 12,paca
2019/12/20, 42, , , ,paca
2019/12/22, 15, 6, 30, 8,paca
2019/12/23, 13, 9, 18, 13,paca
2019/12/24, 25, 7, 25, 6,paca
2019/12/25, 20, 11, 21, 14,paca
2019/12/26, 35, 8, 24, 9,paca
2019/12/27, 20, 14, 12, 18,paca
2019/12/28, 42, 23, 11, 14,paca
2019/12/29, 72, , , ,paca
2019/7/1, 55, 26, 37, 8,paca
2019/7/2, 60, 24, 46, 8,paca
2019/7/3, 57, 19, 46, 10,paca
2019/7/4, 47, 22, 41, 13,paca
2019/7/5, 56, 24, 38, 8,paca
2019/7/6, 55, 33, 41, 7,paca
2019/7/7, 66, 23, 63, 11,paca
2019/7/8, 51, 25, 39, 11,paca
2019/7/9, 45, 20, 48, 11,paca
2019/7/10, 38, 21, 52, 12,paca
2019/7/11, 41, 20, 46, 14,paca
2019/7/12, 33, 20, 42, 8,paca
2019/7/13, 28, 13, 49, 8,paca
2019/7/14, 32, 23, 40, 7,paca
2019/7/15, 36, 19, 46, 13,paca
2019/7/16, 30, 23, 63, 15,paca
2019/7/17, 42, 55, 42, 13,paca
2019/7/18, 59, 25, 46, 14,paca
2019/7/19, 51, 22, 45, 8,paca
2019/7/20, 50, 22, 65, 11,paca
2019/7/21, 48, 24, 42, 13,paca
2019/7/22, 47, 28, 39, 14,paca
2019/7/23, 55, 38, 64, 15,paca
2019/7/24, 65, 28, 43, 11,paca
2019/7/25, 56, 23, 40, 10,paca
2019/7/26, 48, 23, 39, 9,paca
2019/7/27, 41, 17, 31, 2,paca
2019/7/28, 19, 23, 33, 6,paca
2019/7/29, 27, 21, 29, 14,paca
2019/7/30, 35, 15, 34, 7,paca
2019/7/31, 23, 18, 40, 13,paca
2019/8/1, 36, 21, 43, 11,paca
2019/8/2, 36, 11, 45, 7,paca
2019/8/3, 20, , , ,paca
2019/8/5, 33, 19, 44, 6,paca
2019/8/6, 34, 22, 55, 9,paca
2019/8/7, 47, 18, 40, 10,paca
2019/8/8, 35, 19, 41, 4,paca
2019/8/9, 39, 22, 38, 3,paca
2019/8/10, 53, 19, 37, 4,paca
2019/8/11, 46, 19, 34, 7,paca
2019/8/12, 32, 16, 35, 3,paca
2019/8/13, 16, 12, 35, 6,paca
2019/8/14, 20, 14, 28, 8,paca
2019/8/15, 23, 9, 32, 7,paca
2019/8/16, 15, 12, 34, 5,paca
2019/8/17, 31, 11, 32, 2,paca
2019/8/18, 30, 12, 27, 5,paca
2019/8/19, 31, 19, 24, 9,paca
2019/8/20, 38, 23, 42, 10,paca
2019/8/21, 45, 21, 40, 14,paca
2019/8/22, 41, 15, 52, 7,paca
2019/8/23, 35, 17, 51, 9,paca
2019/8/24, 52, 17, 44, 11,paca
2019/8/25, 52, 18, 39, 12,paca
2019/8/26, 52, 21, 43, 11,paca
2019/8/27, 56, 24, 49, 12,paca
2019/8/28, 59, 23, 50, 10,paca
2019/8/29, 57, 21, 43, 11,paca
2019/8/30, 53, 12, 48, 8,paca
